dates,return
20111012,0.007921635
20111013,0.006042424
20111014,0.006636146
20111017,0.015938582
20111018,-0.014785001
20111019,0.009254242
20111020,-0.027012515
20111021,0.018890351
20111024,0.034122156
20111025,-0.004069135
20111026,0.001456311
20111027,0.014703506
20111028,0.005055732
20111031,-0.010258645
20111101,0.000160077
20111102,-0.00756242
20111103,-0.015885175
20111104,0.033799009
20111107,-0.006182135
20111108,-0.009809395
20111109,0.003664626
20111110,-0.05300325
20111111,0.029531396
20111114,0.021729289
20111115,-0.008297418
20111116,-0.017180456
20111117,0.010827341
20111118,-0.021136549
20111121,-0.011652675
20111122,0.004901961
20111123,-0.025735913
20111124,0.007208218
20111125,-0.009942147
20111128,0.024066139
20111129,0.024979923
20111130,-0.005402062
20111201,0.042829305
20111202,-0.001312023
20111205,0.004100482
20111206,-0.010863532
20111207,0.008377425
20111208,-0.005008546
20111209,-0.021493348
20111212,0.014779733
20111213,-0.02039831
20111214,-0.004641038
20111215,-0.023230864
20111216,0.01309564
20111219,-0.033691936
20111220,0.009018728
20111221,0.032844374
20111222,-0.000455468
20111223,0.011681856
20111226,-0.006469577
20111227,-0.007624464
20111228,-0.01096391
20111229,-0.000293932
20120102,0.002604167
20120103,0.029828236
20120104,-0.006427467
20120105,-0.002784147
20120106,-0.012276236
20120109,-0.010599825
20120110,0.015418872
20120111,-0.003558277
20120112,0.010920566
20120113,0.007475561
20120116,-0.008887802
20120117,0.019374743
20120118,4.04E-05
20120119,0.013921395
20120120,0.02125204
20120125,0.002065391
20120126,0.001477794
20120127,0.004388009
20120130,-0.013299826
20120131,0.006621998
20120201,0.00062281
20120202,0.012798568
20120203,-0.00699059
20120206,0.001547209
20120207,0.003359981
20120208,0.01208622
20120209,0.005932912
20120210,-0.012589792
20120213,0.006049699
20120214,-0.001408183
20120215,0.013339431
20120216,-0.01500677
20120217,0.0150063
20120220,0.000489053
20120221,-0.000225606
20120222,0.002783106
20120223,-0.011439073
20120224,0.006146142
20120227,-0.014705882
20120228,0.00822809
20120229,0.013968495
20120302,0.001197919
20120305,-0.010095345
20120306,-0.007176582
20120307,-0.009511128
20120308,0.009602458
20120309,0.01053833
20120312,-0.00707778
20120313,0.011981497
20120314,0.011052829
20120315,-0.000333519
20120316,-0.005523428
20120319,0.007455176
20120320,-0.002183002
20120321,-0.007008306
20120322,0.000709511
20120323,-0.000111949
20120326,-0.002015301
20120327,0.012340601
20120328,-0.003952569
20120329,-0.009308708
20120330,-0.002058923
20120402,0.009040438
20120403,0.012900108
20120404,-0.015158188
20120405,0.00607461
20120406,3.70E-05
20120409,-0.015149831
20120410,-0.001880548
20120412,-0.0053885
20120413,0.011024815
20120416,-0.008881061
20120417,-0.004423608
20120418,0.011013216
20120419,-0.002404027
20120420,-0.014082386
20120423,-0.000687443
20120424,-0.003439578
20120425,0.000230097
20120426,0.002645503
20120427,0.007341975
20120430,0.003492389
20120502,0.008549272
20120503,-0.002100446
20120504,-0.006201842
20120507,-0.017662632
20120508,0.005351711
20120509,-0.0089231
20120510,-0.003477723
20120511,-0.015083951
20120514,0.000433071
20120515,-0.007044193
20120516,-0.033251427
20120517,0.002254745
20120518,-0.035299411
20120521,0.011744753
20120522,0.016930685
20120523,-0.011950878
20120524,0.003128128
20120525,0.004532036
20120529,0.015149007
20120530,-0.002364837
20120531,-0.002574792
20120601,-0.004384347
20120604,-0.027491975
20120605,0.010537452
20120607,0.028141882
20120608,-0.00741314
20120611,0.018917477
20120612,-0.007531212
20120613,0.002637666
20120614,0.006232799
20120615,-0.008245515
20120618,0.019467088
20120619,-0.000238692
20120620,0.00640643
20120621,-0.009726396
20120622,-0.025193644
20120625,-0.013925865
20120626,-0.004444444
20120627,0.000709279
20120628,0.000542005
20120629,0.020501708
20120702,-0.001796652
20120703,0.009572118
20120704,0.003889789
20120705,-0.000363255
20120706,-0.01049784
20120709,-0.013628759
20120710,-0.00351632
20120711,-0.00224178
20120712,-0.023633186
20120713,0.017514702
20120716,0.002596641
20120717,0.003341827
20120718,-0.015695907
20120719,0.017003638
20120720,-0.000374314
20120723,-0.019138756
20120724,0.003817603
20120725,-0.013353053
20120726,0.007880423
20120727,0.029320529
20120730,0.009701523
20120731,0.02248753
20120801,-0.001919386
20120802,-0.006810897
20120803,-0.012464704
20120806,0.022670643
20120807,0.000119827
20120808,0.009784736
20120809,0.020724569
20120810,0.003216057
20120813,-0.008728902
20120814,0.013481395
20120816,-0.000115336
20120817,-0.007228545
20120820,-0.000658404
20120821,-0.002054025
20120822,-0.005009709
20120823,0.004176262
20120824,-0.013798197
20120827,-0.003783549
20120828,-0.000791233
20120829,0.006532842
20120830,-0.012823539
20120831,-0.00159388
20120903,0.00267401
20120904,-0.002666879
20120905,-0.019196999
20120906,0.004231943
20120907,0.029296163
20120910,-0.002519487
20120911,-0.002565317
20120912,0.016697662
20120913,-0.000311345
